raceId,year,circuitId,driverId,constructorId,grid,positionOrder,statusId,status,is_dnf,driver_recent_form,constructor_recent_form,driver_circuit_form,constructor_circuit_form,driver_dnf_rate,qualifying_position,driver_recent_qualifying_form
833,1950,9,789,154,7,19,51,Oil pressure,1,12.794050599798199,12.794050599798199,12.794050599798199,7.0,0.0,,11.195826186392225
833,1950,9,661,151,10,20,6,Gearbox,1,12.794050599798199,12.794050599798199,12.794050599798199,6.5,0.0,,11.195826186392225
833,1950,9,790,151,12,21,126,Supercharger,1,12.794050599798199,12.794050599798199,12.794050599798199,11.0,0.0,,11.195826186392225
833,1950,9,788,105,20,10,16,+6 Laps,0,12.794050599798199,13.25,12.794050599798199,13.833333333333334,0.0,,11.195826186392225
833,1950,9,666,151,10,20,6,Gearbox,1,12.794050599798199,12.794050599798199,12.794050599798199,13.5,0.0,,11.195826186392225
834,1950,6,579,51,1,1,1,Finished,0,12.794050599798199,12.794050599798199,12.794050599798199,12.794050599798199,1.0,,11.195826186392225
834,1950,6,647,6,7,2,11,+1 Lap,0,12.794050599798199,12.794050599798199,12.794050599798199,12.794050599798199,0.0,,11.195826186392225
834,1950,6,589,105,8,3,12,+2 Laps,0,12.794050599798199,14.700000000000003,12.794050599798199,12.794050599798199,1.0,,11.195826186392225
834,1950,6,793,6,9,4,13,+3 Laps,0,12.794050599798199,12.794050599798199,12.794050599798199,2.0,0.0,,11.195826186392225
834,1950,6,669,105,15,5,15,+5 Laps,0,12.794050599798199,14.25,12.794050599798199,3.0,1.0,,11.195826186392225
834,1950,6,619,151,16,6,16,+6 Laps,0,12.794050599798199,11.25,12.794050599798199,12.794050599798199,0.0,,11.195826186392225
834,1950,6,660,154,19,7,16,+6 Laps,0,12.794050599798199,7.050000000000001,12.794050599798199,12.794050599798199,0.0,,11.195826186392225
834,1950,6,633,6,6,8,109,Axle,1,12.794050599798199,12.794050599798199,12.794050599798199,3.0,0.0,,11.195826186392225
834,1950,6,741,154,4,9,44,Oil leak,1,12.794050599798199,8.25,12.794050599798199,7.0,0.0,,11.195826186392225
834,1950,6,498,105,3,10,3,Accident,1,12.794050599798199,13.600000000000001,12.794050599798199,4.0,0.0,,11.195826186392225
834,1950,6,642,51,2,11,3,Accident,1,12.794050599798199,2.6500000000000004,12.794050599798199,1.0,0.0,,11.195826186392225
834,1950,6,786,51,5,12,3,Accident,1,12.794050599798199,4.55,12.794050599798199,6.0,0.0,,11.195826186392225
834,1950,6,627,154,10,13,3,Accident,1,12.794050599798199,10.4,12.794050599798199,8.0,0.0,,11.195826186392225
834,1950,6,626,141,11,14,3,Accident,1,12.794050599798199,12.794050599798199,12.794050599798199,12.794050599798199,0.0,,11.195826186392225
834,1950,6,640,105,12,15,3,Accident,1,12.794050599798199,11.649999999999999,12.794050599798199,6.0,1.0,,11.195826186392225
834,1950,6,427,141,13,16,3,Accident,1,12.794050599798199,12.794050599798199,12.794050599798199,14.0,0.0,,11.195826186392225
834,1950,6,787,151,14,17,3,Accident,1,12.794050599798199,13.55,12.794050599798199,6.0,0.0,,11.195826186392225
834,1950,6,762,105,17,18,3,Accident,1,12.794050599798199,8.0,12.794050599798199,8.25,0.0,,11.195826186392225
834,1950,6,501,87,20,19,4,Collision,1,12.794050599798199,12.794050599798199,12.794050599798199,12.794050599798199,0.0,,11.195826186392225
834,1950,6,687,6,21,20,5,Engine,1,12.794050599798199,12.794050599798199,12.794050599798199,4.666666666666667,0.0,,11.195826186392225
834,1950,6,792,105,18,21,3,Accident,1,12.794050599798199,7.25,12.794050599798199,10.2,0.0,,11.195826186392225
835,1950,19,593,113,5,1,1,Finished,0,12.794050599798199,12.794050599798199,12.794050599798199,12.794050599798199,0.0,,11.195826186392225
835,1950,19,701,150,10,2,11,+1 Lap,0,12.794050599798199,12.794050599798199,12.794050599798199,12.794050599798199,0.0,,11.195826186392225
835,1950,19,768,150,3,3,11,+1 Lap,0,12.794050599798199,12.794050599798199,12.794050599798199,2.0,0.0,,11.195826186392225
835,1950,19,770,113,12,4,11,+1 Lap,0,12.794050599798199,12.794050599798199,12.794050599798199,1.0,0.0,,11.195826186392225
835,1950,19,794,113,9,5,12,+2 Laps,0,12.794050599798199,12.794050599798199,12.794050599798199,2.5,0.0,,11.195826186392225
835,1950,19,766,119,23,6,12,+2 Laps,0,12.794050599798199,12.794050599798199,12.794050599798199,12.794050599798199,0.0,,11.195826186392225
835,1950,19,654,113,1,7,13,+3 Laps,0,12.794050599798199,12.794050599798199,12.794050599798199,3.3333333333333335,0.0,,11.195826186392225
835,1950,19,726,110,4,8,13,+3 Laps,0,12.794050599798199,12.794050599798199,12.794050599798199,12.794050599798199,0.0,,11.195826186392225
835,1950,19,555,138,19,9,13,+3 Laps,0,12.794050599798199,12.794050599798199,12.794050599798199,12.794050599798199,0.0,,11.195826186392225
835,1950,19,559,113,11,10,13,+3 Laps,0,12.794050599798199,12.794050599798199,12.794050599798199,4.25,0.0,,11.195826186392225
835,1950,19,795,156,16,11,15,+5 Laps,0,12.794050599798199,12.794050599798199,12.794050599798199,12.794050599798199,0.0,,11.195826186392225
835,1950,19,518,129,13,12,15,+5 Laps,0,12.794050599798199,12.794050599798199,12.794050599798199,12.794050599798199,0.0,,11.195826186392225
835,1950,19,772,113,26,13,16,+6 Laps,0,12.794050599798199,3.85,12.794050599798199,5.4,0.0,,11.195826186392225
835,1950,19,658,113,6,14,20,Spun off,1,12.794050599798199,6.2,12.794050599798199,6.666666666666667,0.0,,11.195826186392225
835,1950,19,526,110,24,15,18,+8 Laps,0,12.794050599798199,12.794050599798199,12.794050599798199,8.0,0.0,,11.195826186392225
835,1950,19,520,157,31,16,88,+10 Laps,0,12.794050599798199,12.794050599798199,12.794050599798199,12.794050599798199,0.0,,11.195826186392225
835,1950,19,653,116,27,17,88,+10 Laps,0,12.794050599798199,12.794050599798199,12.794050599798199,12.794050599798199,0.0,,11.195826186392225
835,1950,19,732,113,33,18,88,+10 Laps,0,12.794050599798199,7.95,12.794050599798199,7.714285714285714,0.0,,11.195826186392225
835,1950,19,771,113,20,19,45,+11 Laps,0,12.794050599798199,10.450000000000001,12.794050599798199,9.0,0.0,,11.195826186392225
835,1950,19,677,105,14,20,55,+12 Laps,0,12.794050599798199,10.65,12.794050599798199,12.794050599798199,0.0,,11.195826186392225
835,1950,19,659,113,15,21,53,+13 Laps,0,12.794050599798199,13.05,12.794050599798199,10.11111111111111,0.0,,11.195826186392225
835,1950,19,796,158,29,22,112,+15 Laps,0,12.794050599798199,12.794050599798199,12.794050599798199,12.794050599798199,0.0,,11.195826186392225
835,1950,19,797,159,30,23,20,Spun off,1,12.794050599798199,12.794050599798199,12.794050599798199,12.794050599798199,0.0,,11.195826186392225
835,1950,19,509,160,28,24,116,+16 Laps,0,12.794050599798199,12.794050599798199,12.794050599798199,12.794050599798199,0.0,,11.195826186392225
835,1950,19,731,105,21,25,70,Oil line,1,12.794050599798199,14.549999999999999,12.794050599798199,20.0,0.0,,11.195826186392225
835,1950,19,729,162,22,26,7,Transmission,1,12.794050599798199,12.794050599798199,12.794050599798199,12.794050599798199,0.0,,11.195826186392225
835,1950,19,798,161,17,27,51,Oil pressure,1,12.794050599798199,12.794050599798199,12.794050599798199,12.794050599798199,0.0,,11.195826186392225
835,1950,19,615,113,2,28,44,Oil leak,1,12.794050599798199,15.399999999999999,12.794050599798199,11.2,0.0,,11.195826186392225
835,1950,19,799,113,32,29,126,Supercharger,1,12.794050599798199,17.85,12.794050599798199,12.727272727272727,0.0,,11.195826186392225
835,1950,19,611,113,25,30,51,Oil pressure,1,12.794050599798199,20.799999999999997,12.794050599798199,14.083333333333334,0.0,,11.195826186392225
835,1950,19,529,150,8,31,67,Wheel bearing,1,12.794050599798199,12.794050599798199,12.794050599798199,2.5,0.0,,11.195826186392225
835,1950,19,537,107,18,32,85,Stalled,1,12.794050599798199,12.794050599798199,12.794050599798199,12.794050599798199,0.0,,11.195826186392225
835,1950,19,630,113,7,33,44,Oil leak,1,12.794050599798199,22.950000000000003,12.794050599798199,15.307692307692308,0.0,,11.195826186392225
835,1950,19,529,113,9,5,12,+2 Laps,0,12.794050599798199,26.05,31.0,16.571428571428573,1.0,,11.195826186392225
835,1950,19,803,161,17,27,51,Oil pressure,1,12.794050599798199,12.794050599798199,12.794050599798199,27.0,0.0,,11.195826186392225
836,1950,66,642,51,2,1,1,Finished,0,12.794050599798199,6.650000000000001,12.794050599798199,12.794050599798199,0.5,,11.195826186392225
836,1950,66,786,51,3,2,1,Finished,0,12.794050599798199,8.000000000000002,12.794050599798199,1.0,0.5,,11.195826186392225
836,1950,66,627,154,10,3,11,+1 Lap,0,12.794050599798199,12.400000000000002,12.794050599798199,12.794050599798199,0.5,,11.195826186392225
836,1950,66,669,105,8,4,12,+2 Laps,0,12.794050599798199,18.15,12.794050599798199,12.794050599798199,0.5,,11.195826186392225
836,1950,66,697,105,12,5,12,+2 Laps,0,12.794050599798199,18.349999999999998,12.794050599798199,4.0,0.0,,11.195826186392225
836,1950,66,640,105,11,6,12,+2 Laps,0,12.794050599798199,18.049999999999997,12.794050599798199,4.5,1.0,,11.195826186392225
836,1950,66,800,105,15,7,13,+3 Laps,0,12.794050599798199,15.95,12.794050599798199,5.0,0.0,,11.195826186392225
836,1950,66,501,154,18,8,13,+3 Laps,0,12.794050599798199,12.300000000000002,12.794050599798199,3.0,1.0,,11.195826186392225
836,1950,66,589,105,16,9,13,+3 Laps,0,12.794050599798199,13.049999999999999,12.794050599798199,5.5,0.5,,11.195826186392225
836,1950,66,660,154,14,10,14,+4 Laps,0,12.794050599798199,8.100000000000001,12.794050599798199,5.5,0.0,,11.195826186392225
836,1950,66,780,105,17,11,17,+7 Laps,0,12.794050599798199,5.3500000000000005,12.794050599798199,6.2,0.0,,11.195826186392225
836,1950,66,579,51,1,12,5,Engine,1,12.794050599798199,5.249999999999999,12.794050599798199,1.5,0.5,,11.195826186392225
836,1950,66,741,154,6,13,6,Gearbox,1,12.794050599798199,9.1,12.794050599798199,7.0,0.5,,11.195826186392225
836,1950,66,789,154,9,14,3,Accident,1,12.794050599798199,9.450000000000001,12.794050599798199,8.5,1.0,,11.195826186392225
836,1950,66,793,6,13,15,22,Suspension,1,12.794050599798199,12.794050599798199,12.794050599798199,12.794050599798199,0.0,,11.195826186392225
836,1950,66,633,6,4,16,5,Engine,1,12.794050599798199,6.5,12.794050599798199,15.0,1.0,,11.195826186392225
836,1950,66,647,6,5,17,94,Oil pump,1,12.794050599798199,9.7,12.794050599798199,15.5,0.0,,11.195826186392225
836,1950,66,704,154,7,18,3,Accident,1,12.794050599798199,7.4,12.794050599798199,9.6,0.0,,11.195826186392225
837,1950,13,579,51,2,1,1,Finished,0,12.794050599798199,8.950000000000001,12.794050599798199,12.794050599798199,0.6666666666666666,,11.195826186392225
837,1950,13,786,51,3,2,1,Finished,0,12.794050599798199,6.65,12.794050599798199,1.0,0.3333333333333333,,11.195826186392225
837,1950,13,627,154,8,3,1,Finished,0,12.794050599798199,10.850000000000001,12.794050599798199,12.794050599798199,0.3333333333333333,,11.195826186392225
837,1950,13,642,51,1,4,1,Finished,0,12.794050599798199,3.0,12.794050599798199,1.5,0.3333333333333333,,11.195826186392225
837,1950,13,647,6,7,5,11,+1 Lap,0,12.794050599798199,13.75,12.794050599798199,12.794050599798199,0.5,,11.195826186392225
837,1950,13,633,6,4,6,12,+2 Laps,0,12.794050599798199,16.35,12.794050599798199,5.0,1.0,,11.195826186392225
837,1950,13,773,154,10,7,12,+2 Laps,0,12.794050599798199,11.450000000000001,12.794050599798199,3.0,0.0,,11.195826186392225
837,1950,13,660,154,14,8,13,+3 Laps,0,12.794050599798199,12.399999999999999,12.794050599798199,5.0,0.0,,11.195826186392225
837,1950,13,785,126,12,9,15,+5 Laps,0,12.794050599798199,12.794050599798199,12.794050599798199,12.794050599798199,1.0,,11.195826186392225
837,1950,13,780,105,11,10,16,+6 Laps,0,12.794050599798199,6.550000000000001,12.794050599798199,12.794050599798199,0.0,,11.195826186392225
837,1950,13,774,154,13,11,108,Oil pipe,1,12.794050599798199,12.05,12.794050599798199,6.0,0.0,,11.195826186392225
837,1950,13,793,154,5,12,51,Oil pressure,1,12.794050599798199,10.9,12.794050599798199,7.25,0.5,,11.195826186392225
837,1950,13,741,154,6,13,25,Overheating,1,12.794050599798199,6.45,12.794050599798199,8.2,0.6666666666666666,,11.195826186392225
837,1950,13,704,154,9,14,108,Oil pipe,1,12.794050599798199,8.950000000000001,12.794050599798199,9.0,0.5,,11.195826186392225
838,1950,55,579,51,1,1,1,Finished,0,12.794050599798199,4.55,12.794050599798199,12.794050599798199,0.5,,11.195826186392225
838,1950,55,786,51,3,2,1,Finished,0,12.794050599798199,5.8500000000000005,12.794050599798199,1.0,0.25,,11.195826186392225
838,1950,55,687,6,18,3,13,+3 Laps,0,12.794050599798199,13.65,12.794050599798199,12.794050599798199,1.0,,11.195826186392225
838,1950,55,626,141,12,4,13,+3 Laps,0,12.794050599798199,12.794050599798199,12.794050599798199,12.794050599798199,1.0,,11.195826186392225
838,1950,55,741,154,4,5,15,+5 Laps,0,12.794050599798199,10.450000000000001,12.794050599798199,12.794050599798199,0.75,,11.195826186392225
838,1950,55,801,154,15,6,18,+8 Laps,0,12.794050599798199,11.25,12.794050599798199,5.0,0.0,,11.195826186392225
838,1950,55,642,51,2,7,48,Fuel pump,1,12.794050599798199,1.8,12.794050599798199,1.5,0.25,,11.195826186392225
838,1950,55,704,154,5,8,55,+12 Laps,0,12.794050599798199,11.25,12.794050599798199,5.5,0.6666666666666666,,11.195826186392225
838,1950,55,773,154,9,9,5,Engine,1,12.794050599798199,10.85,12.794050599798199,6.333333333333333,0.0,,11.195826186392225
838,1950,55,697,105,10,10,5,Engine,1,12.794050599798199,7.6,12.794050599798199,12.794050599798199,0.0,,11.195826186392225
838,1950,55,660,154,14,11,25,Overheating,1,12.794050599798199,9.450000000000001,12.794050599798199,7.0,0.0,,11.195826186392225
838,1950,55,627,154,6,12,25,Overheating,1,12.794050599798199,6.700000000000001,12.794050599798199,7.8,0.25,,11.195826186392225
838,1950,55,686,105,11,13,5,Engine,1,12.794050599798199,8.700000000000001,12.794050599798199,10.0,0.0,,11.195826186392225
838,1950,55,762,105,7,14,5,Engine,1,12.794050599798199,10.15,12.794050599798199,11.5,1.0,,11.195826186392225
838,1950,55,589,105,13,15,5,Engine,1,12.794050599798199,11.100000000000001,12.794050599798199,12.333333333333334,0.3333333333333333,,11.195826186392225
838,1950,55,784,105,17,16,5,Engine,1,12.794050599798199,11.35,12.794050599798199,13.0,0.0,,11.195826186392225
838,1950,55,793,154,16,17,25,Overheating,1,12.794050599798199,8.05,12.794050599798199,8.5,0.6666666666666666,,11.195826186392225
838,1950,55,498,105,8,18,5,Engine,1,12.794050599798199,12.45,12.794050599798199,13.6,1.0,,11.195826186392225
838,1950,55,774,154,4,5,15,+5 Laps,0,12.794050599798199,10.0,12.794050599798199,9.714285714285714,1.0,,11.195826186392225
838,1950,55,627,154,15,6,18,+8 Laps,0,7.2,10.349999999999998,12.0,9.125,0.4,,11.195826186392225
839,1950,14,642,51,3,1,1,Finished,0,4.3999999999999995,2.85,12.794050599798199,12.794050599798199,0.4,,11.195826186392225
839,1950,14,802,6,6,2,1,Finished,0,12.794050599798199,12.3,12.794050599798199,12.794050599798199,0.0,,11.195826186392225
839,1950,14,786,51,5,3,1,Finished,0,4.5,2.95,12.794050599798199,1.0,0.2,,11.195826186392225
839,1950,14,627,154,13,4,15,+5 Laps,0,8.200000000000001,11.049999999999999,12.794050599798199,12.794050599798199,0.3333333333333333,,11.195826186392225
839,1950,14,741,154,16,5,15,+5 Laps,0,9.200000000000001,10.8,12.794050599798199,4.0,0.6,,11.195826186392225
839,1950,14,640,105,17,6,18,+8 Laps,0,12.794050599798199,14.35,12.794050599798199,12.794050599798199,0.6666666666666666,,11.195826186392225
839,1950,14,687,6,18,7,18,+8 Laps,0,12.794050599798199,9.450000000000001,12.794050599798199,2.0,0.5,,11.195826186392225
839,1950,14,747,105,24,8,6,Gearbox,1,12.794050599798199,14.150000000000002,12.794050599798199,6.0,1.0,,11.195826186392225
839,1950,14,787,151,21,9,21,Radiator,1,12.794050599798199,18.55,12.794050599798199,12.794050599798199,0.5,,11.195826186392225
839,1950,14,793,154,8,10,6,Gearbox,1,12.794050599798199,9.850000000000001,12.794050599798199,4.5,0.75,,11.195826186392225
839,1950,14,764,154,11,11,108,Oil pipe,1,12.794050599798199,5.6,12.794050599798199,6.333333333333333,0.0,,11.195826186392225
839,1950,14,762,105,9,12,31,Retired,1,12.794050599798199,14.1,12.794050599798199,7.0,1.0,,11.195826186392225
839,1950,14,641,51,7,13,5,Engine,1,12.794050599798199,2.3500000000000005,12.794050599798199,2.0,0.0,,11.195826186392225
839,1950,14,773,154,20,14,6,Gearbox,1,12.794050599798199,6.25,12.794050599798199,7.5,0.5,,11.195826186392225
839,1950,14,579,51,1,15,6,Gearbox,1,7.05,4.3,12.794050599798199,5.666666666666667,0.4,,11.195826186392225
839,1950,14,660,154,22,16,25,Overheating,1,9.55,6.85,12.794050599798199,8.8,0.2,,11.195826186392225
839,1950,14,647,6,2,17,5,Engine,1,12.794050599798199,4.8500000000000005,12.794050599798199,4.5,0.3333333333333333,,11.195826186392225
839,1950,14,791,6,25,18,5,Engine,1,12.794050599798199,5.8500000000000005,12.794050599798199,8.666666666666666,0.0,,11.195826186392225
839,1950,14,765,154,16,19,23,Brakes,1,12.794050599798199,9.15,12.794050599798199,10.0,0.0,,11.195826186392225
839,1950,14,740,105,26,20,31,Retired,1,12.794050599798199,13.8,12.794050599798199,8.666666666666666,0.0,,11.195826186392225
839,1950,14,427,141,12,21,110,Water pipe,1,12.794050599798199,12.794050599798199,12.794050599798199,12.794050599798199,1.0,,11.195826186392225
839,1950,14,589,105,19,22,51,Oil pressure,1,12.794050599798199,13.099999999999998,12.794050599798199,11.5,0.5,,11.195826186392225
839,1950,14,763,51,4,23,5,Engine,1,12.794050599798199,6.3,12.794050599798199,8.0,0.0,,11.195826186392225
839,1950,14,626,141,10,24,7,Transmission,1,12.794050599798199,12.794050599798199,12.794050599798199,21.0,0.5,,11.195826186392225
839,1950,14,669,105,15,25,5,Engine,1,12.794050599798199,10.399999999999999,12.794050599798199,13.6,0.3333333333333333,,11.195826186392225
839,1950,14,756,105,27,26,5,Engine,1,12.794050599798199,13.899999999999999,12.794050599798199,15.5,0.0,,11.195826186392225
839,1950,14,697,163,23,27,54,Withdrew,1,12.794050599798199,12.794050599798199,12.794050599798199,12.794050599798199,0.5,,11.195826186392225
839,1950,14,647,6,6,2,1,Finished,0,12.794050599798199,6.25,17.0,11.0,0.5,,11.195826186392225
839,1950,14,579,51,7,13,5,Engine,1,5.15,6.9,15.0,11.0,0.5,,11.195826186392225
825,1951,66,579,51,1,1,1,Finished,0,8.000000000000002,10.3,12.0,5.0,0.5714285714285714,,11.195826186392225
825,1951,66,641,6,6,2,1,Finished,0,12.794050599798199,7.1,12.794050599798199,16.0,1.0,,11.195826186392225
825,1951,66,642,51,2,3,1,Finished,0,6.05,13.799999999999999,1.0,4.0,0.3333333333333333,,11.195826186392225
825,1951,66,763,51,4,4,11,+1 Lap,0,12.794050599798199,14.1,12.794050599798199,3.8,1.0,,11.195826186392225
825,1951,66,640,51,5,5,12,+2 Laps,0,12.794050599798199,13.300000000000002,6.0,3.8333333333333335,0.5,,11.195826186392225
825,1951,66,647,6,7,6,12,+2 Laps,0,7.7,10.149999999999999,17.0,12.5,0.4,,11.195826186392225
825,1951,66,589,105,19,7,12,+2 Laps,0,13.0,18.200000000000003,9.0,7.0,0.6,,11.195826186392225
825,1951,66,475,133,14,8,12,+2 Laps,0,12.794050599798199,12.794050599798199,12.794050599798199,12.794050599798199,0.0,,11.195826186392225
825,1951,66,627,154,8,9,13,+3 Laps,0,4.75,12.35,3.0,11.0,0.2857142857142857,,11.195826186392225
825,1951,66,741,154,12,10,13,+3 Laps,0,9.799999999999999,13.100000000000001,13.0,10.714285714285714,0.5,,11.195826186392225
825,1951,66,723,6,10,11,13,+3 Laps,0,12.794050599798199,12.4,12.794050599798199,11.2,0.0,,11.195826186392225
825,1951,66,501,105,17,12,14,+4 Laps,0,12.794050599798199,20.55,8.0,7.0,0.5,,11.195826186392225
825,1951,66,660,154,18,13,17,+7 Laps,0,9.200000000000001,14.350000000000001,10.0,10.625,0.3333333333333333,,11.195826186392225
825,1951,66,764,154,21,14,45,+11 Laps,0,12.794050599798199,14.8,12.794050599798199,10.88888888888889,1.0,,11.195826186392225
825,1951,66,687,6,9,15,3,Accident,1,12.794050599798199,9.7,12.794050599798199,11.166666666666666,0.3333333333333333,,11.195826186392225
825,1951,66,765,154,11,16,3,Accident,1,12.794050599798199,14.050000000000002,12.794050599798199,11.2,1.0,,11.195826186392225
825,1951,66,725,133,20,17,121,Magneto,1,12.794050599798199,12.794050599798199,12.794050599798199,8.0,0.0,,11.195826186392225
825,1951,66,704,154,15,18,80,Ignition,1,12.794050599798199,11.049999999999999,18.0,11.636363636363637,0.5,,11.195826186392225
825,1951,66,633,6,3,19,3,Accident,1,12.794050599798199,4.800000000000001,16.0,11.714285714285714,0.6666666666666666,,11.195826186392225
825,1951,66,498,154,13,20,94,Oil pump,1,12.794050599798199,12.75,12.794050599798199,12.166666666666666,1.0,,11.195826186392225
825,1951,66,721,144,16,21,69,Fuel system,1,12.794050599798199,12.794050599798199,12.794050599798199,12.794050599798199,0.0,,11.195826186392225
826,1951,19,766,113,2,1,1,Finished,0,12.794050599798199,26.750000000000004,6.0,15.8,0.0,,11.195826186392225
826,1951,19,673,113,7,2,1,Finished,0,12.794050599798199,24.650000000000002,12.794050599798199,14.875,0.0,,11.195826186392225
826,1951,19,658,113,3,3,1,Finished,0,12.794050599798199,21.3,14.0,14.117647058823529,1.0,,11.195826186392225
826,1951,19,612,149,31,4,1,Finished,0,12.794050599798199,12.794050599798199,12.794050599798199,12.794050599798199,0.0,,11.195826186392225
826,1951,19,734,134,29,5,1,Finished,0,12.794050599798199,12.794050599798199,12.794050599798199,12.794050599798199,0.0,,11.195826186392225
826,1951,19,731,119,17,6,1,Finished,0,12.794050599798199,12.794050599798199,25.0,6.0,1.0,,11.195826186392225
826,1951,19,767,113,24,7,17,+7 Laps,0,12.794050599798199,15.100000000000001,12.794050599798199,13.5,0.0,,11.195826186392225
826,1951,19,518,150,4,8,127,+20 Laps,0,12.794050599798199,12.794050599798199,12.0,12.0,0.0,,11.195826186392225
826,1951,19,529,150,9,9,20,Spun off,1,12.794050599798199,12.794050599798199,18.0,11.0,0.5,,11.195826186392225
826,1951,19,699,113,1,10,31,Retired,1,12.794050599798199,3.55,12.794050599798199,13.157894736842104,0.0,,11.195826186392225
826,1951,19,534,113,22,11,5,Engine,1,12.794050599798199,3.0500000000000003,12.794050599798199,13.0,0.0,,11.195826186392225
826,1951,19,611,113,12,12,5,Engine,1,12.794050599798199,4.7,30.0,12.904761904761905,1.0,,11.195826186392225
826,1951,19,729,113,16,13,5,Engine,1,12.794050599798199,6.750000000000001,26.0,12.863636363636363,1.0,,11.195826186392225
826,1951,19,768,150,5,14,3,Accident,1,12.794050599798199,7.8999999999999995,3.0,10.6,0.0,,11.195826186392225
826,1951,19,654,114,14,15,5,Engine,1,12.794050599798199,12.794050599798199,7.0,12.794050599798199,0.0,,11.195826186392225
826,1951,19,653,135,27,16,109,Axle,1,12.794050599798199,12.794050599798199,17.0,12.794050599798199,0.0,,11.195826186392225
826,1951,19,615,113,11,17,8,Clutch,1,12.794050599798199,9.450000000000003,28.0,12.869565217391305,1.0,,11.195826186392225
826,1951,19,700,113,15,18,42,Heat shield fire,1,12.794050599798199,11.55,12.794050599798199,13.041666666666666,0.0,,11.195826186392225
826,1951,19,769,155,33,19,8,Clutch,1,12.794050599798199,12.794050599798199,12.794050599798199,12.794050599798199,0.0,,11.195826186392225
826,1951,19,521,156,19,20,42,Heat shield fire,1,12.794050599798199,12.794050599798199,12.794050599798199,11.0,0.0,,11.195826186392225
826,1951,19,593,113,8,21,121,Magneto,1,12.794050599798199,12.850000000000001,1.0,13.24,0.0,,11.195826186392225
826,1951,19,770,113,10,22,5,Engine,1,12.794050599798199,14.500000000000002,4.0,13.538461538461538,0.0,,11.195826186392225
826,1951,19,526,113,6,23,5,Engine,1,12.794050599798199,16.45,15.0,13.851851851851851,0.0,,11.195826186392225
826,1951,19,630,134,32,24,25,Overheating,1,12.794050599798199,12.794050599798199,33.0,5.0,1.0,,11.195826186392225
826,1951,19,733,113,28,25,80,Ignition,1,12.794050599798199,18.950000000000003,12.794050599798199,14.178571428571429,0.0,,11.195826186392225
826,1951,19,771,113,13,26,121,Magneto,1,12.794050599798199,20.55,19.0,14.551724137931034,0.0,,11.195826186392225
826,1951,19,449,139,25,27,108,Oil pipe,1,12.794050599798199,12.794050599798199,12.794050599798199,12.794050599798199,0.0,,11.195826186392225
826,1951,19,629,113,18,28,109,Axle,1,12.794050599798199,22.450000000000003,12.794050599798199,14.933333333333334,0.0,,11.195826186392225
